Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1042_1x18650,1,Battery_Cell,
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",0603,10,1n,C1588
"C11, C15, C29, C31, C32",0603,5,10u,C19702
"C12, C16, C17, C20, C23",0603,5,1u,C15849
"C13, C14, C19, C21, C24, C28, C30",0603,7,0.1u,C14663
C18,0805,1,100u,C141660
"C22, C25",0603,2,0.01u,C57112
"C26, C27",0805,2,10u,C19702
D1,0603,1,LED,C19171394
D2,D_SMA,1,D_Schottky,C2480
"D3, D4, D5",0603,3,LED,
"J1, J10, J2, J3, J4, J5, J6, J7, J8, J9",Jack_TouchProof_1.5mm,10,Jack_Touch-Proof,
J11,SAMTEC_FTSH-105-XX-X-DV,1,FTSH-105-XX-X-DV,C448647
J13,PinHeader_1x09_P2.54mm_Horizontal,1,Conn_01x09_Pin,
J15,GCT_USB4125-GF-A_REVA2,1,USB4125-GF-A_REVA2,
"JP5, JP6, JP7, JP8",PinHeader_1x02_P2.54mm_Vertical,4,Jumper_2_Open,
L1,L_Coilcraft_XAL5030-XXX,1,22u,
"L2, L3",L_Eaton_MCL2012V1,2,HZ0805E601R-10,C2441364
PS1,CONV_ME2108A33P,1,ME2108A50P,C236798
Q1,SOP65P640X120-8N,1,FS8205A,C2830320
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",0603,10,2.2k,C114662
R11,0603,1,0,
R12,0603,1,390k,C23150
R13,0603,1,2.2k,
"R14, R15, R16, R17, R18, R19, R25",0603,7,10k,C25804
R20,0603,1,100,C22775
"R21, R22, R24",0603,3,1k,C21190
"R23, R26",0603,2,1.2k,C22765
"R27, R28",0603,2,5.1k,C21190
"S1, S2, S3, S4",SW_SKRPABE010,4,SKRPABE010,C115360
SW1,SW_SPST_TL3305A,1,SW_Push,
SW2,SW_PCM12SMTR,1,PCM12SMTR,
"TP_3.3V1, TP_5V1, TP_BAT+1, TP_GND1",TestPoint_Pad_D2.0mm,4,TestPoint,
U1,PAG64_TEX,1,ADS1299,C476817
U2,XCVR_HC-05,1,HC-05,
U3,QFP50P900X900X160-48N,1,LPC845M301JBD48E,C178288
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U5,SOT-23-6,1,DW01A,C2927799
U7,SOT95P285X140-5N,1,AP2112K-3.3TRG1,C51118
